Film,Year,Position,Edition,id_imdb,rate,rate_count,duration,genres,country,budget,gross
Airport,1970,Nominee,43,0065377,6.6,17403.0,137.0,"[' Action', ' Drama', ' Thriller']",['USA'],10000000.0,100489151.0
Five Easy Pieces,1970,Nominee,43,0065724,7.5,33231.0,98.0,[' Drama'],['USA'],1600000.0,
Love Story,1970,Nominee,43,0066011,6.9,30869.0,100.0,"[' Drama', ' Romance']",['USA'],2200000.0,106550690.0
MASH,1970,Nominee,43,0066026,7.4,67377.0,116.0,"[' Comedy', ' Drama', ' War']",['USA'],3500000.0,81600000.0
The French Connection,1971,Winner,44,0067116,7.7,109817.0,104.0,"[' Action', ' Crime', ' Drama', ' Thriller']",['USA'],1800000.0,51700000.0
A Clockwork Orange,1971,Nominee,44,0066921,8.3,756517.0,136.0,"[' Crime', ' Drama', ' Sci-Fi']","['UK', 'USA']",2200000.0,26904636.0
Fiddler on the Roof,1971,Nominee,44,0067093,8.0,39379.0,181.0,"[' Drama', ' Family', ' Musical', ' Romance']",['USA'],9000000.0,10405457.0
The Last Picture Show,1971,Nominee,44,0067328,8.0,42281.0,118.0,"[' Drama', ' Romance']",['USA'],1300000.0,29146131.0
Nicholas and Alexandra,1971,Nominee,44,0067483,7.2,4408.0,183.0,"[' Biography', ' Drama', ' History', ' War']",['UK'],9000000.0,
The Godfather,1972,Winner,45,0068646,9.2,1616145.0,175.0,"[' Crime', ' Drama']",['USA'],6000000.0,246120986.0
Cabaret,1972,Nominee,45,0068327,7.8,48242.0,124.0,"[' Drama', ' Music', ' Musical']",['USA'],4600000.0,
Deliverance,1972,Nominee,45,0068473,7.7,98596.0,109.0,"[' Adventure', ' Drama', ' Thriller']",['USA'],2000000.0,4534.0
The Emigrants,1972,Nominee,45,0067919,8.0,5703.0,191.0,"[' Drama', ' History']",['Sweden'],,
Sounder,1972,Nominee,45,0069303,7.6,3506.0,105.0,"[' Drama', ' Family']",['USA'],,
The Sting,1973,Winner,46,0070735,8.3,241110.0,129.0,"[' Comedy', ' Crime', ' Drama']",['USA'],5500000.0,156000000.0
American Graffiti,1973,Nominee,46,0069704,7.4,81673.0,110.0,"[' Comedy', ' Drama']",['USA'],777000.0,115000000.0
Cries and Whispers,1973,Nominee,46,0069467,8.1,30111.0,91.0,[' Drama'],['Sweden'],400000.0,10595.0
The Exorcist,1973,Nominee,46,0070047,8.0,361923.0,122.0,[' Horror'],['USA'],11000000.0,441306145.0
A Touch of Class,1973,Nominee,46,0070819,6.5,2779.0,106.0,"[' Comedy', ' Romance']",['UK'],,
The Godfather Part II,1974,Winner,47,0071562,9.0,1127347.0,202.0,"[' Crime', ' Drama']",['USA'],13000000.0,48035783.0
Chinatown,1974,Nominee,47,0071315,8.1,293544.0,130.0,"[' Drama', ' Mystery', ' Thriller']",['USA'],6000000.0,29225935.0
The Conversation,1974,Nominee,47,0071360,7.8,98298.0,113.0,"[' Drama', ' Mystery', ' Thriller']",['USA'],1600000.0,4432180.0
Lenny,1974,Nominee,47,0071746,7.6,14656.0,111.0,"[' Biography', ' Drama']",['USA'],,
The Towering Inferno,1974,Nominee,47,0072308,7.0,39384.0,165.0,"[' Action', ' Drama', ' Thriller']",['USA'],14000000.0,116000000.0
One Flew Over the Cuckoo's Nest,1975,Winner,48,0073486,8.7,916122.0,133.0,[' Drama'],['USA'],3000000.0,108997629.0
Barry Lyndon,1975,Nominee,48,0072684,8.1,149430.0,185.0,"[' Adventure', ' Drama', ' History', ' War']","['UK', 'USA']",11000000.0,198992.0
Dog Day Afternoon,1975,Nominee,48,0072890,8.0,235212.0,125.0,"[' Biography', ' Crime', ' Drama', ' Thriller']",['USA'],1800000.0,50000000.0
Jaws,1975,Nominee,48,0073195,8.0,542763.0,124.0,"[' Adventure', ' Thriller']",['USA'],7000000.0,470653000.0
Nashville,1975,Nominee,48,0073440,7.7,23725.0,160.0,"[' Comedy', ' Drama', ' Music']",['USA'],2200000.0,9984123.0
Rocky,1976,Winner,49,0075148,8.1,517469.0,120.0,"[' Drama', ' Sport']",['USA'],960000.0,117250382.0
All the President's Men,1976,Nominee,49,0074119,8.0,102565.0,138.0,"[' Biography', ' Drama', ' History', ' Thriller']",['USA'],8500000.0,70600000.0
Bound for Glory,1976,Nominee,49,0074235,7.3,4658.0,147.0,"[' Biography', ' Drama', ' Music']",['USA'],,
Network,1976,Nominee,49,0074958,8.1,144647.0,121.0,[' Drama'],['USA'],3800000.0,23690757.0
Taxi Driver,1976,Nominee,49,0075314,8.3,722801.0,114.0,"[' Crime', ' Drama']",['USA'],1300000.0,28441292.0
Annie Hall,1977,Winner,50,0075686,8.0,251543.0,93.0,"[' Comedy', ' Romance']",['USA'],4000000.0,38287178.0
The Goodbye Girl,1977,Nominee,50,0076095,7.4,12506.0,111.0,"[' Comedy', ' Drama', ' Romance']",['USA'],,
Julia,1977,Nominee,50,0076245,7.2,8663.0,117.0,[' Drama'],['USA'],7840000.0,20714400.0
Star Wars,1977,Nominee,50,0076759,8.6,1229119.0,121.0,"[' Action', ' Adventure', ' Fantasy', ' Sci-Fi']","['USA', 'UK']",11000000.0,775398007.0
The Turning Point,1977,Nominee,50,0076843,6.9,4215.0,119.0,"[' Drama', ' Romance']",['USA'],,25933445.0
The Deer Hunter,1978,Winner,51,0077416,8.1,310775.0,183.0,"[' Drama', ' War']",['USA'],15000000.0,49074243.0
Coming Home,1978,Nominee,51,0077362,7.3,12333.0,127.0,"[' Drama', ' Romance', ' War']",['USA'],3000000.0,32653905.0
Heaven Can Wait,1978,Nominee,51,0077663,6.9,18639.0,101.0,"[' Comedy', ' Fantasy', ' Romance', ' Sport']","['USA', 'Canada']",,81640278.0
Midnight Express,1978,Nominee,51,0077928,7.6,73560.0,121.0,"[' Biography', ' Crime', ' Drama', ' Thriller']","['UK', 'USA']",2300000.0,35000000.0
An Unmarried Woman,1978,Nominee,51,0078444,7.1,4745.0,124.0,"[' Comedy', ' Drama', ' Romance']",['USA'],,
Kramer vs. Kramer,1979,Winner,52,0079417,7.8,132993.0,105.0,[' Drama'],['USA'],8000000.0,106260000.0
All That Jazz,1979,Nominee,52,0078754,7.9,28155.0,123.0,"[' Drama', ' Music', ' Musical']",['USA'],12000000.0,37823676.0
Apocalypse Now,1979,Nominee,52,0078788,8.4,605137.0,147.0,"[' Drama', ' Mystery', ' War']",['USA'],31500000.0,92144505.0
Breaking Away,1979,Nominee,52,0078902,7.7,21656.0,101.0,"[' Comedy', ' Drama', ' Romance', ' Sport']",['USA'],2300000.0,16424918.0
Norma Rae,1979,Nominee,52,0079638,7.3,10439.0,114.0,[' Drama'],['USA'],,22228000.0
Ordinary People,1980,Winner,53,0081283,7.7,46973.0,124.0,[' Drama'],['USA'],6000000.0,54766923.0
